 Demonstrativo de Fluxo de Caixa ;2018;2019;2020;2021;2022
Lucro Líquido;1020;1098;1096;634;1292
+Deprec;315;730;791;916;1041
+ Var. Capital de Giro;-363;-622;80;-1472;-1398
Fluxo de Caixa Operacional;342;-254;385;-1754;-1147
;;;;;
Capex;-610;-751;-544;-934;-1105
Fluxo de Caixa de Investimentos;-610;-751;-544;-934;-1105
;;;;;
Dividendos Pagos (R$);-288;-409;-244;-244;-764
Captação Empréstimos (pagamentos) (R$);-55;92;1679;37;-1124
Captação Equity (pagamentos) (R$);81;46;10;4000;44
 Fluxo de Caixa de Financiamento;-262;-271;1445;3793;-1844
;;;;;
Outros;1915;1263;15;2169;1652
;;;;;
Aumento (queda) no caixa;1385;-13;1301;3274;-2444
Abertura de Caixa;;1385;1372;2673;5947
Posição Final de Caixa;1385;1372;2673;5947;3503
